Technology,Country,Scenario,MAE,Future Predictions
CAES,Brazil,Positive,,"[0.7976619982728823, 0.823971927454819, 0.8502818566367558, 0.8765917858186927, 0.9029017150006293, 0.9292116441825662, 0.955521573364503, 0.9818315025464397, 1.0081414317283766, 1.0344513609103134, 1.06076129009225, 1.087071219274187, 1.1133811484561238, 1.1396910776380604, 1.1660010068199973, 1.1923109360019342, 1.2186208651838708, 1.2449307943658077, 1.2712407235477445, 1.2975506527296814, 1.323860581911618]"
PHS,United Kingdom,Medium,,"[37290.84983696708, 37367.6608654008, 37444.47189383452, 37521.28292226824, 37598.09395070196, 37674.90497913568, 37751.7160075694, 37828.52703600312, 37905.338064436844, 37982.14909287056, 38058.960121304284, 38135.771149738, 38212.582178171724, 38289.39320660544, 38366.204235039164, 38443.01526347288, 38519.826291906604, 38596.63732034032, 38673.44834877404, 38750.25937720776, 38827.07040564148]"
PHS,United States,Medium,,"[241078.14789443242, 239506.3397123154, 237934.5315301984, 236362.7233480814, 234790.9151659644, 233219.1069838474, 231647.29880173036, 230075.49061961335, 228503.68243749635, 226931.8742553793, 225360.0660732623, 223788.2578911453, 222216.4497090283, 220644.6415269113, 219072.8333447943, 217501.02516267725, 215929.21698056025, 214357.4087984432, 212785.6006163262, 211213.7924342092, 209641.9842520922]"
PHS,China,Medium,,"[364876.76486116875, 364876.7673077859, 364876.7697544031, 364876.7722010202, 364876.7746476374, 364876.77709425456, 364876.77954087174, 364876.78198748885, 364876.784434106, 364876.7868807232, 364876.7893273403, 364876.7917739575, 364876.79422057467, 364876.79666719184, 364876.79911380896, 364876.80156042613, 364876.8040070433, 364876.8064536604, 364876.8089002776, 364876.81134689477, 364876.81379351194]"
PHS,Brazil,Medium,,"[2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994, 2605.1453999999994]"
LiB,United Kingdom,Medium,,"[3833.43462330454, 3968.8275495917187, 4104.220475878897, 4239.613402166075, 4375.006328453253, 4510.399254740431, 4645.792181027609, 4781.185107314788, 4916.578033601966, 5051.970959889144, 5187.363886176323, 5322.756812463501, 5458.149738750679, 5593.542665037858, 5728.935591325036, 5864.328517612214, 5999.721443899392, 6135.11437018657, 6270.507296473748, 6405.900222760926, 6541.293149048105]"
LiB,United States,Medium,,"[36877.85339756035, 38172.849143765176, 39467.844889969994, 40762.84063617482, 42057.836382379646, 43352.832128584465, 44647.82787478929, 45942.82362099411, 47237.819367198936, 48532.81511340376, 49827.81085960858, 51122.806605813406, 52417.802352018225, 53712.79809822306, 55007.79384442788, 56302.789590632696, 57597.78533683753, 58892.78108304235, 60187.77682924717, 61482.772575451985, 62777.76832165682]"
LiB,China,Medium,,"[34686.055480866264, 35901.48108397662, 37116.90668708698, 38332.332290197344, 39547.7578933077, 40763.18349641806, 41978.609099528425, 43194.03470263878, 44409.46030574914, 45624.8859088595, 46840.311511969856, 48055.73711508022, 49271.16271819058, 50486.58832130094, 51702.0139244113, 52917.43952752166, 54132.86513063202, 55348.290733742375, 56563.71633685273, 57779.14193996309, 58994.56754307346]"
LiB,Brazil,Medium,,"[212.9952298692507, 219.52094025006568, 226.04665063088066, 232.5723610116957, 239.0980713925107, 245.62378177332573, 252.14949215414072, 258.67520253495576, 265.20091291577074, 271.72662329658573, 278.25233367740077, 284.77804405821576, 291.3037544390308, 297.8294648198458, 304.3551752006608, 310.8808855814758, 317.4065959622908, 323.93230634310584, 330.4580167239208, 336.98372710473586, 343.50943748555085]"
CAES,United Kingdom,Medium,,"[14.035707631664618, 14.480419842516142, 14.925132053367665, 15.36984426421919, 15.814556475070713, 16.259268685922233, 16.703980896773757, 17.14869310762528, 17.593405318476805, 18.03811752932833, 18.482829740179852, 18.927541951031376, 19.3722541618829, 19.816966372734424, 20.261678583585947, 20.70639079443747, 21.151103005288995, 21.59581521614052, 22.04052742699204, 22.485239637843563, 22.929951848695087]"
