Technology,Country,Year,mean,std
CAES,United States,2030,15594.815407935186,1380.4228684711263
CAES,United States,2031,16115.85712960024,1426.5444734583577
CAES,United States,2032,16636.89885126529,1472.666078445589
CAES,United States,2033,17157.940572930343,1518.787683432819
CAES,United States,2034,17678.982294595397,1564.9092884200518
CAES,United States,2035,18200.024016260446,1611.030893407285
CAES,United States,2036,18721.0657379255,1657.1524983945149
CAES,United States,2037,19242.107459590552,1703.2741033817447
CAES,United States,2038,19763.149181255605,1749.3957083689813
CAES,United States,2039,20284.190902920654,1795.5173133562112
CAES,United States,2040,20805.232624585708,1841.6389183434424
CAES,United States,2041,21326.27434625076,1887.7605233306754
CAES,United States,2042,21847.316067915814,1933.8821283179063
CAES,United States,2043,22368.357789580867,1980.0037333051364
CAES,United States,2044,22889.399511245912,2026.1253382923694
CAES,United States,2045,23410.441232910965,2072.2469432796024
CAES,United States,2046,23931.48295457602,2118.368548266832
CAES,United States,2047,24452.52467624107,2164.4901532540634
CAES,United States,2048,24973.566397906125,2210.6117582412962
CAES,United States,2049,25494.608119571174,2256.7333632285254
CAES,United States,2050,26015.649841236227,2302.8549682157573
LiB,Brazil,2030,212.69051585118657,15.085661643768685
LiB,Brazil,2031,219.20689046115936,15.547853494916966
LiB,Brazil,2032,225.7232650711322,16.010045346065212
LiB,Brazil,2033,232.23963968110502,16.47223719721344
LiB,Brazil,2034,238.75601429107783,16.93442904836171
LiB,Brazil,2035,245.27238890105068,17.396620899509937
LiB,Brazil,2036,251.7887635110235,17.858812750658196
LiB,Brazil,2037,258.30513812099633,18.32100460180646
LiB,Brazil,2038,264.8215127309691,18.783196452954684
LiB,Brazil,2039,271.3378873409419,19.24538830410299
LiB,Brazil,2040,277.85426195091475,19.70758015525117
LiB,Brazil,2041,284.37063656088753,20.16977200639949
LiB,Brazil,2042,290.8870111708604,20.631963857547667
LiB,Brazil,2043,297.40338578083316,21.09415570869599
LiB,Brazil,2044,303.919760390806,21.556347559844166
LiB,Brazil,2045,310.43613500077885,22.01853941099245
LiB,Brazil,2046,316.95250961075163,22.480731262140694
LiB,Brazil,2047,323.4688842207245,22.942923113288952
LiB,Brazil,2048,329.98525883069726,23.405114964437193
LiB,Brazil,2049,336.5016334406701,23.86730681558545
LiB,Brazil,2050,343.01800805064295,24.329498666733656
LiB,China,2030,35821.235477661285,3182.780562737924
LiB,China,2031,37076.43864592631,3294.307599480943
LiB,China,2032,38331.641814191345,3405.8346362239467
LiB,China,2033,39586.84498245638,3517.361672966959
LiB,China,2034,40842.048150721406,3628.8887097099628
LiB,China,2035,42097.25131898644,3740.4157464529753
LiB,China,2036,43352.454487251474,3851.942783195994
LiB,China,2037,44607.6576555165,3963.4698199389977
LiB,China,2038,45862.86082378154,4074.9968566820016
