Technology,Country,Year,Sample,Sample_GWh
LiB,Brazil,2044,303.08974596979186,0.3030897459697919
LiB,Brazil,2045,310.6210034694692,0.3106210034694692
LiB,Brazil,2046,317.21370212803134,0.31721370212803135
LiB,Brazil,2047,321.99278286743726,0.32199278286743727
LiB,Brazil,2048,329.39054763559824,0.3293905476355982
LiB,Brazil,2049,336.5597850569322,0.3365597850569322
LiB,Brazil,2050,343.3262831179255,0.3433262831179255
LiB,China,2030,35857.25418049422,35.85725418049422
LiB,China,2031,37010.58039964537,37.01058039964537
LiB,China,2032,38404.502499647475,38.40450249964748
LiB,China,2033,39613.711768882415,39.61371176888242
LiB,China,2034,40706.695641243015,40.706695641243016
LiB,China,2035,42090.02392271907,42.09002392271907
LiB,China,2036,43227.431760534804,43.227431760534806
LiB,China,2037,44694.09655061635,44.69409655061635
