Technology,Country,Year,mean,median,variance,std_dev,skewness,kurtosis,percentile_5,percentile_95
CAES,China,2049,8570.904946578941,8577.655204325147,453517.7467512909,673.4372626691301,-0.09181554287231551,0.3448173161975272,7422.38893931153,9642.92284977775
CAES,China,2050,8754.413218433629,8748.779539188701,453205.40147328185,673.2053189579549,0.0028479198168292986,-0.02266259958210659,7640.73150367116,9851.028022104252
CAES,United Kingdom,2030,14.079721851699292,14.097467267810703,0.5374864392509371,0.733134666518326,-0.10102340431255197,0.09749400592594348,12.852858560345334,15.23018715529141
CAES,United Kingdom,2031,14.53412634015154,14.550530310148819,0.610512317525575,0.781352876442888,-0.01735495775223631,0.15851020793441561,13.235948146918926,15.831416854204031
CAES,United Kingdom,2032,14.95975505933563,14.93231092692598,0.5798709197596913,0.7614925605412645,0.023578778728174318,-0.023336649771469542,13.716180705332757,16.251627696194486
CAES,United Kingdom,2033,15.425603011050617,15.456328644229652,0.6437918290821768,0.8023663932906069,0.03170916478599298,0.04433291250486704,14.08614831574681,16.761489000584326
CAES,United Kingdom,2034,15.878988971374728,15.878572401811972,0.6311719541588793,0.7944633120282392,-0.022378610191802806,0.009451986583039584,14.579448650882531,17.174143599936272
CAES,United Kingdom,2035,16.273623072445023,16.264751804403698,0.7099255394214191,0.8425707919346713,-0.07127365798182271,-0.011622546765875263,14.892703713383762,17.62566713885119
CAES,United Kingdom,2036,16.73164790049937,16.740063518579753,0.7277826270778118,0.8531017683007179,-0.00512462190313308,-0.11140634831633367,15.387954224373068,18.0883575367845
CAES,United Kingdom,2037,17.161479176496485,17.13857201361356,0.753496112902209,0.8680415386962821,-6.182346778984815e-05,-0.18191887119586392,15.7222002847879,18.621380657042987
CAES,United Kingdom,2038,17.648871916520786,17.657356842643722,0.8424146464799384,0.9178314913315725,0.01994215092300192,-0.32676933684438403,16.160081818049658,19.165738149484426
CAES,United Kingdom,2039,18.11181421039034,18.095709791873098,0.9092191257043988,0.9535298242343544,0.010111982644391651,0.11846443673422957,16.53116950247888,19.58183687448113
CAES,United Kingdom,2040,18.53296559542123,18.56522901681606,0.8890863614575559,0.9429137614106371,-0.11623603293898013,0.05893904314754739,16.94088340105462,20.020208289042607
CAES,United Kingdom,2041,19.000163481076665,18.986975501981263,1.0163566132171478,1.008145134996518,0.015993677372606603,-0.05012660988978679,17.380045603067508,20.68020123325875
CAES,United Kingdom,2042,19.38674162703562,19.438302292860104,0.9825620138539392,0.9912426614376215,-0.04371590519549305,-0.14739272467962117,17.763868931686496,20.995082234884116
CAES,United Kingdom,2043,19.874240937652587,19.859351832200765,0.9572971385849863,0.9784156267072732,-0.0011067060889832032,-0.01774928131577269,18.301494550163376,21.551575931983596
CAES,United Kingdom,2044,20.306481115027317,20.297602975687717,1.0611370177613333,1.0301150507401264,0.00022336005581994294,0.022289059757556462,18.622937683186322,22.081372597937506
CAES,United Kingdom,2045,20.749169095583163,20.770448263909582,1.1296119977484782,1.0628320646971836,-0.06738015703995276,-0.0672902110066036,19.01218294356866,22.41600641945213
CAES,United Kingdom,2046,21.232508702723504,21.236848178546495,1.171761906461494,1.0824795178022972,-0.050503033700768814,0.07628289499680196,19.44962903743377,22.998048431563927
CAES,United Kingdom,2047,21.67088318363787,21.65664798930883,1.2423620934477286,1.1146129792209172,0.05963152092986424,-0.040370652218690406,19.852349390076743,23.53307556025238
CAES,United Kingdom,2048,22.042796449462692,22.0773811934099,1.2935139731802705,1.137327557557747,0.0025464834883241485,0.08526261557157477,20.204341364988963,23.868580291992416
CAES,United Kingdom,2049,22.50073471147813,22.529161636270985,1.4162251992957564,1.1900526035834535,-0.08857296833215957,0.18795848952625827,20.634757368643236,24.40384975617482
CAES,United Kingdom,2050,23.036039602122337,23.063372059360322,1.4497644014274487,1.2040616269225795,-0.09042173187851167,0.004168558802236877,21.045495636190413,25.010784802915904
CAES,United States,2030,15553.709877940119,15551.629076380032,1960020.1125243015,1400.0071830259662,-0.12455572151355299,-0.13374368796308733,13172.79035155914,17719.893062751347
CAES,United States,2031,16121.794072442766,16078.87908338361,2037205.1252599023,1427.3069485082394,0.09032940745603263,0.2964706888211963,13820.848099237992,18487.189035070012
CAES,United States,2032,16650.734603675388,16619.76532678784,2133771.8355443603,1460.743589937796,0.1377185980924864,-0.30266885598203164,14276.234165938431,19054.26662692306
CAES,United States,2033,17210.84584533045,17194.07238779399,2181876.8253081627,1477.1177425338044,-0.13630533306401602,0.09925577798801744,14698.351685451007,19576.896288920445
CAES,United States,2034,17671.23986332209,17662.037748923078,2555228.832570072,1598.5083148266924,0.022627557607688913,-0.060151360347011185,15082.747570436113,20347.2543822876
CAES,United States,2035,18119.529945654147,18101.822134795482,2548201.148269908,1596.3086005750606,0.09403928036641498,-0.07886456301579159,15616.20386428317,20752.122746742643
CAES,United States,2036,18725.630336712733,18748.564266313617,2780829.95712919,1667.582069083615,0.03352284773039609,0.17957578409169317,16013.40349423623,21510.30139775919
CAES,United States,2037,19226.01793666844,19252.47411477213,2848600.391061769,1687.7797223162058,-0.10969611859448762,0.05716825070846765,16360.731568771724,21911.5244338391
CAES,United States,2038,19763.052898736172,19731.908010174804,2823181.857259759,1680.2326795000029,0.04118795028410272,0.11055427867898127,16991.292954690663,22555.13743190273
CAES,United States,2039,20300.6161422147,20211.017835310486,3361058.4561527004,1833.3189728338875,0.07739275689600457,-0.20384952381808974,17408.396241318027,23488.30202878553
CAES,United States,2040,20871.843929341583,20887.265554643942,3229143.4621287747,1796.9817645509859,-0.08943062964306837,0.07034482979954726,17990.0426038875,23845.36612326552
CAES,United States,2041,21313.140268750376,21344.542296454172,3640383.690546058,1907.9789544295445,-0.12149850837121626,-0.1321776841661606,18100.660031323103,24356.40579499653
